code,name,barcode,unit,is_active,sale_price,ncm
1517,CONCHIGLIONE CREAM CHEESE PEITO DE PERU.,1517,KG,0,0,19022000
1518,CONCHIGLIONE CREAM CHEESE.,1518,KG,0,0,19022000
1519,CONCHIGLIONE 4Q NOZ UVAS PASSAS.,1519,KG,0,0,19022000
1520,CONCHIGLIONE ABOBORA.,1520,KG,0,0,19022000
1600,NHOQUE DE BATATA.,1600,KG,0,0,19022000
1601,NHOQUE RECH PRES MUSS.,1601,KG,0,0,19022000
1602,NHOQUE RECH 4 QUEIJOS.,1602,KG,0,0,19022000
1603,NHOQUE DE MANDIOCA.,1603,KG,0,0,19022000
1701,TORTA DE FRANGO.,1701,KG,0,0,19022000
1702,TORTA 4Q TOMATE SECO.,1702,KG,0,0,19022000
1703,TORTA DE PALMITO.,1703,KG,0,0,19022000
1704,TORTA DE CAMARAO.,1704,KG,0,0,19022000
1705,TORTA DE BACALHAU.,1705,KG,0,0,19022000
1706,TORTA INT PALMITO.,1706,KG,0,0,19022000
1707,TORTA INT FRANGO.,1707,KG,0,0,19022000
1708,TORTA INT 4Q BROCOLIS.,1708,KG,0,0,19022000
